date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:59:13	2762/2762	---M--	200	added ('OK')	image/png	etag:%22aca-565c709a10c80%22	http://localhost/qtsc_starter1/components/com_spsimpleportfolio/assets/img/icon-play.png	C:/Users/ASUS/Desktop/qtsc/template_html1/qtscstarter/localhost/qtsc_starter1/components/com_spsimpleportfolio/assets/img/icon-play.png	(from http://localhost/qtsc_starter1/components/com_spsimpleportfolio/assets/css/spsimpleportfolio.css)
07:59:14	11186/11186	---MC-	200	added ('OK')	text/html	date:Thu,%2002%20Jan%202020%2000:59:14%20GMT	http://localhost/qtsc_starter1/index.php/blog/the-new-threat-to-wolves-in-and-around-yellowstone?tmpl=component&print=1&layout=default	C:/Users/ASUS/Desktop/qtsc/template_html1/qtscstarter/localhost/qtsc_starter1/index.php/blog/the-new-threat-to-wolves-in-and-around-yellowstone425e.html	(from http://localhost/qtsc_starter1/index.php/blog/the-new-threat-to-wolves-in-and-around-yellowstone)
07:59:14	4682/4682	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Jan%202020%2000:59:14%20GMT	http://localhost/qtsc_starter1/index.php/component/mailto/?tmpl=component&template=shaper_helixultimate&link=3d0d36374ea176e22ac2c2bf31b953eb5523b570	C:/Users/ASUS/Desktop/qtsc/template_html1/qtscstarter/localhost/qtsc_starter1/index.php/component/mailto/indexf84c.html	(from http://localhost/qtsc_starter1/index.php/blog/the-new-threat-to-wolves-in-and-around-yellowstone)
07:59:15	4682/4682	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Jan%202020%2000:59:15%20GMT	http://localhost/qtsc_starter1/index.php/component/mailto/?tmpl=component&template=shaper_helixultimate&link=567d003bf34710ca567c3a17848c27cfa9f9257b	C:/Users/ASUS/Desktop/qtsc/template_html1/qtscstarter/localhost/qtsc_starter1/index.php/component/mailto/index5e72.html	(from http://localhost/qtsc_starter1/index.php/blog/broke-a-glass-someday-you-might-3-d-print-a-new-one)
07:59:15	11189/11189	---MC-	200	added ('OK')	text/html	date:Thu,%2002%20Jan%202020%2000:59:14%20GMT	http://localhost/qtsc_starter1/index.php/blog/broke-a-glass-someday-you-might-3-d-print-a-new-one?tmpl=component&print=1&layout=default	C:/Users/ASUS/Desktop/qtsc/template_html1/qtscstarter/localhost/qtsc_starter1/index.php/blog/broke-a-glass-someday-you-might-3-d-print-a-new-one425e.html	(from http://localhost/qtsc_starter1/index.php/blog/broke-a-glass-someday-you-might-3-d-print-a-new-one)
07:59:16	11137/11137	---MC-	200	added ('OK')	text/html	date:Thu,%2002%20Jan%202020%2000:59:15%20GMT	http://localhost/qtsc_starter1/index.php/blog/jimmy-kimmel-sheds-light-on-health-coverage?tmpl=component&print=1&layout=default	C:/Users/ASUS/Desktop/qtsc/template_html1/qtscstarter/localhost/qtsc_starter1/index.php/blog/jimmy-kimmel-sheds-light-on-health-coverage425e.html	(from http://localhost/qtsc_starter1/index.php/blog/jimmy-kimmel-sheds-light-on-health-coverage)
07:59:16	4682/4682	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Jan%202020%2000:59:16%20GMT	http://localhost/qtsc_starter1/index.php/component/mailto/?tmpl=component&template=shaper_helixultimate&link=1847702b7cd19bc3d2a2909b33f2addf0dd841ec	C:/Users/ASUS/Desktop/qtsc/template_html1/qtscstarter/localhost/qtsc_starter1/index.php/component/mailto/indexf625.html	(from http://localhost/qtsc_starter1/index.php/blog/jimmy-kimmel-sheds-light-on-health-coverage)
07:59:17	137669/137669	---M--	200	added ('OK')	image/jpeg	etag:%22219c5-565da9ef9cc00%22	http://localhost/qtsc_starter1/images/2018/02/23/blog81_thumbnail.jpg	C:/Users/ASUS/Desktop/qtsc/template_html1/qtscstarter/localhost/qtsc_starter1/images/2018/02/23/blog81_thumbnail.jpg	(from http://localhost/qtsc_starter1/index.php/blog)
07:59:17	4682/4682	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Jan%202020%2000:59:17%20GMT	http://localhost/qtsc_starter1/index.php/component/mailto/?tmpl=component&template=shaper_helixultimate&link=50ee86506bd1291fab5efe3022fe004a65264846	C:/Users/ASUS/Desktop/qtsc/template_html1/qtscstarter/localhost/qtsc_starter1/index.php/component/mailto/index40e4.html	(from http://localhost/qtsc_starter1/index.php/blog/as-arctic-ice-vanishes-new-shipping-routes-open)
07:59:17	10977/10977	---MC-	200	added ('OK')	text/html	date:Thu,%2002%20Jan%202020%2000:59:17%20GMT	http://localhost/qtsc_starter1/index.php/blog/as-arctic-ice-vanishes-new-shipping-routes-open?tmpl=component&print=1&layout=default	C:/Users/ASUS/Desktop/qtsc/template_html1/qtscstarter/localhost/qtsc_starter1/index.php/blog/as-arctic-ice-vanishes-new-shipping-routes-open425e.html	(from http://localhost/qtsc_starter1/index.php/blog/as-arctic-ice-vanishes-new-shipping-routes-open)
07:59:18	11869/11869	---MC-	200	added ('OK')	text/html	date:Thu,%2002%20Jan%202020%2000:59:17%20GMT	http://localhost/qtsc_starter1/index.php/blog/want-to-make-more-baskets-science-has-the-answer?tmpl=component&print=1&layout=default	C:/Users/ASUS/Desktop/qtsc/template_html1/qtscstarter/localhost/qtsc_starter1/index.php/blog/want-to-make-more-baskets-science-has-the-answer425e.html	(from http://localhost/qtsc_starter1/index.php/blog/want-to-make-more-baskets-science-has-the-answer)
07:59:18	4682/4682	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Jan%202020%2000:59:18%20GMT	http://localhost/qtsc_starter1/index.php/component/mailto/?tmpl=component&template=shaper_helixultimate&link=406f8449a46cbbad0dfbabd8facaa457b180ef81	C:/Users/ASUS/Desktop/qtsc/template_html1/qtscstarter/localhost/qtsc_starter1/index.php/component/mailto/index7a5b.html	(from http://localhost/qtsc_starter1/index.php/blog/want-to-make-more-baskets-science-has-the-answer)
07:59:20	4682/4682	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Jan%202020%2000:59:19%20GMT	http://localhost/qtsc_starter1/index.php/component/mailto/?tmpl=component&template=shaper_helixultimate&link=c67cf2e21b54b853140f1a25227bced439bc71f7	C:/Users/ASUS/Desktop/qtsc/template_html1/qtscstarter/localhost/qtsc_starter1/index.php/component/mailto/index973a.html	(from http://localhost/qtsc_starter1/index.php/blog/debate-over-paris-climate-deal-could-turn-on-a-single-phrase)
07:59:20	11244/11244	---MC-	200	added ('OK')	text/html	date:Thu,%2002%20Jan%202020%2000:59:19%20GMT	http://localhost/qtsc_starter1/index.php/blog/debate-over-paris-climate-deal-could-turn-on-a-single-phrase?tmpl=component&print=1&layout=default	C:/Users/ASUS/Desktop/qtsc/template_html1/qtscstarter/localhost/qtsc_starter1/index.php/blog/debate-over-paris-climate-deal-could-turn-on-a-single-phrase425e.html	(from http://localhost/qtsc_starter1/index.php/blog/debate-over-paris-climate-deal-could-turn-on-a-single-phrase)
07:59:21	11194/11194	---MC-	200	added ('OK')	text/html	date:Thu,%2002%20Jan%202020%2000:59:20%20GMT	http://localhost/qtsc_starter1/index.php/blog/the-making-of-a-legacy-first-steps-in-the-trump-era?tmpl=component&print=1&layout=default	C:/Users/ASUS/Desktop/qtsc/template_html1/qtscstarter/localhost/qtsc_starter1/index.php/blog/the-making-of-a-legacy-first-steps-in-the-trump-era425e.html	(from http://localhost/qtsc_starter1/index.php/blog/the-making-of-a-legacy-first-steps-in-the-trump-era)
07:59:22	45799/45799	---M--	200	added ('OK')	image/jpeg	etag:%22b2e7-565da9889d900%22	http://localhost/qtsc_starter1/images/2018/02/23/blog5.jpg	C:/Users/ASUS/Desktop/qtsc/template_html1/qtscstarter/localhost/qtsc_starter1/images/2018/02/23/blog5.jpg	(from http://localhost/qtsc_starter1/index.php/blog/jimmy-kimmel-sheds-light-on-health-coverage)
07:59:22	4682/4682	---M--	200	added ('OK')	text/html	date:Thu,%2002%20Jan%202020%2000:59:21%20GMT	http://localhost/qtsc_starter1/index.php/component/mailto/?tmpl=component&template=shaper_helixultimate&link=e3b5f25464c551d0a5765984742ab0feccd30592	C:/Users/ASUS/Desktop/qtsc/template_html1/qtscstarter/localhost/qtsc_starter1/index.php/component/mailto/index067c.html	(from http://localhost/qtsc_starter1/index.php/blog/the-making-of-a-legacy-first-steps-in-the-trump-era)
07:59:23	44579/44579	---M--	200	added ('OK')	image/jpeg	etag:%22ae23-565dac2800900%22	http://localhost/qtsc_starter1/images/2018/02/23/blog10.jpg	C:/Users/ASUS/Desktop/qtsc/template_html1/qtscstarter/localhost/qtsc_starter1/images/2018/02/23/blog10.jpg	(from http://localhost/qtsc_starter1/index.php/blog/debate-over-paris-climate-deal-could-turn-on-a-single-phrase)
07:59:25	79044/79044	---M--	200	added ('OK')	image/jpeg	etag:%22134c4-565da9edb4780%22	http://localhost/qtsc_starter1/images/2018/02/23/blog81.jpg	C:/Users/ASUS/Desktop/qtsc/template_html1/qtscstarter/localhost/qtsc_starter1/images/2018/02/23/blog81.jpg	(from http://localhost/qtsc_starter1/index.php/blog/the-making-of-a-legacy-first-steps-in-the-trump-era)
